isbn,title,author,publication_year,genre,pages
978-0-06-112008-4,To Kill a Mockingbird,Harper Lee,1960,Fiction,324
978-0-452-28423-4,1984,George Orwell,1949,Science Fiction,328
978-0-7432-7356-5,The Great Gatsby,F. Scott Fitzgerald,1925,Fiction,180
978-0-06-093546-7,Pride and Prejudice,Jane Austen,1813,Romance,432
978-0-14-017739-8,Of Mice and Men,John Steinbeck,1937,Fiction,107
978-0-316-76948-0,The Catcher in the Rye,J.D. Salinger,1951,Fiction,277
978-0-06-112241-5,Brave New World,Aldous Huxley,1932,Science Fiction,268
978-0-14-143951-8,Animal Farm,George Orwell,1945,Political Satire,112
978-0-14-028329-5,The Grapes of Wrath,John Steinbeck,1939,Fiction,464
978-0-06-935789-2,Fahrenheit 451,Ray Bradbury,1953,Science Fiction,249
